Adresse,CodePostal,Arrondissement ,idParcelle,latitude,longitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
43 RUE DENFERT ROCHEREAU | 39 RUE DENFERT ROCHEREAU | 45 RUE DENFERT ROCHEREAU,69384,Lyon 4e Arrondissement,69384000AO0002,45.776908,4.826402,0.34893924611973387,,43 Rue Denfert-Rochereau 69004 Lyon,housenumber,69384_2130_00043,43,43 Rue Denfert-Rochereau,Rue Denfert-Rochereau,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
43 RUE DU MAIL,69384,Lyon 4e Arrondissement,69384000AS0079,45.779211,4.833179,0.7210015702479339,,43 Rue du Mail 69004 Lyon,housenumber,69384_4435_00043,43,43 Rue du Mail,Rue du Mail,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
41 RUE NEY,69386,Lyon 6e Arrondissement,69386000BD0040,45.768621,4.855437,0.6702296969696969,,41 Rue Ney 69006 Lyon,housenumber,69386_5020_00041,41,41 Rue Ney,Rue Ney,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement,ok
43 RUE HENON,69384,Lyon 4e Arrondissement,69384000AP0127,45.779475,4.827849,0.4374797326203208,,43 Rue Jacques-Louis Hénon 69004 Lyon,housenumber,69384_3465_00043,43,43 Rue Jacques-Louis Hénon,Rue Jacques-Louis Hénon,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
44 RUE HENON,69384,Lyon 4e Arrondissement,69384000AR0186,45.779626,4.82691,0.4374797326203208,,44 Rue Jacques-Louis Hénon 69004 Lyon,housenumber,69384_3465_00044,44,44 Rue Jacques-Louis Hénon,Rue Jacques-Louis Hénon,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
44 RUE HENRI GORJUS | 46 RUE HENRI GORJUS | 69 RUE DELEUVRE | 46 B RUE HENRI GORJUS,69384,Lyon 4e Arrondissement,69384000AR0023,45.781434,4.824588,0.2868680213903743,0.21274120531154236,44 Rue Henri Gorjus 69004 Lyon,housenumber,69384_3505_00044,44,44 Rue Henri Gorjus,Rue Henri Gorjus,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
41 RUE PIERRE CORNEILLE,69386,Lyon 6e Arrondissement,69386000BM0042,45.765621,4.84357,0.795464193548387,,41 Rue Pierre Corneille 69006 Lyon,housenumber,69386_5475_00041,41,41 Rue Pierre Corneille,Rue Pierre Corneille,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement,ok
44 RUE PHILIPPE DE LASSALLE,69384,Lyon 4e Arrondissement,69384000AL0052,45.77776,4.820674,0.8145767532467532,,44 Rue Philippe de Lassalle 69004 Lyon,housenumber,69384_5420_00044,44,44 Rue Philippe de Lassalle,Rue Philippe de Lassalle,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
44B QUAI JOSEPH GILLET | 44 QUAI JOSEPH GILLET | 44 B QUAI JOSEPH GILLET | 45 QUAI JOSEPH GILLET,69384,Lyon 4e Arrondissement,69384000AD0152,45.777907,4.810975,0.2693403896103896,,44bis Quai Joseph Gillet 69004 Lyon,housenumber,69384_3901_00044_bis,44bis,44bis Quai Joseph Gillet,Quai Joseph Gillet,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
45 BOULEVARD DES CANUTS | 43 BOULEVARD DES CANUTS,69384,Lyon 4e Arrondissement,69384000AP0016,45.778874,4.827459,0.47317041322314046,,45 Boulevard des Canuts 69004 Lyon,housenumber,69384_1215_00045,45,45 Boulevard des Canuts,Boulevard des Canuts,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
45 RUE DE BELFORT,69384,Lyon 4e Arrondissement,69384000AX0241,45.779776,4.834486,0.7514245454545454,,45 Rue de Belfort 69004 Lyon,housenumber,69384_0775_00045,45,45 Rue de Belfort,Rue de Belfort,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
45 RUE EUGENE PONS,69384,Lyon 4e Arrondissement,69384000AZ0049,45.781329,4.838153,0.760848881118881,,45 Rue Eugène Pons 69004 Lyon,housenumber,69384_2620_00045,45,45 Rue Eugène Pons,Rue Eugène Pons,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
